news_id,ticker,date,title,content,source,url,company_name,text,lexicon_score,logistic_score,finbert_score,sentiment_score
000625-20241230-0,000625.SZ,2024-12-30,000625 2024-12-30 日行情文本摘要,2024-12-30，000625A股交易日行情记录；开盘价13.51；最高价13.53；最低价13.28；收盘价13.34；成交量1027526；按开盘价计算当日下跌1.26%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2024-12-30 日行情文本摘要 2024-12-30，000625A股交易日行情记录；开盘价13.51；最高价13.53；最低价13.28；收盘价13.34；成交量1027526；按开盘价计算当日下跌1.26%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000625-20241231-0,000625.SZ,2024-12-31,000625 2024-12-31 日行情文本摘要,2024-12-31，000625A股交易日行情记录；开盘价13.35；最高价13.38；最低价13.01；收盘价13.02；成交量1107950；按开盘价计算当日下跌2.47%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2024-12-31 日行情文本摘要 2024-12-31，000625A股交易日行情记录；开盘价13.35；最高价13.38；最低价13.01；收盘价13.02；成交量1107950；按开盘价计算当日下跌2.47%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000625-20250102-0,000625.SZ,2025-01-02,000625 2025-01-02 日行情文本摘要,2025-01-02，000625A股交易日行情记录；开盘价13.03；最高价13.04；最低价12.54；收盘价12.62；成交量1324174；按开盘价计算当日下跌3.07%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2025-01-02 日行情文本摘要 2025-01-02，000625A股交易日行情记录；开盘价13.03；最高价13.04；最低价12.54；收盘价12.62；成交量1324174；按开盘价计算当日下跌3.07%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000625-20250103-0,000625.SZ,2025-01-03,000625 2025-01-03 日行情文本摘要,2025-01-03，000625A股交易日行情记录；开盘价12.69；最高价12.71；最低价12.38；收盘价12.4；成交量946873；按开盘价计算当日下跌2.21%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2025-01-03 日行情文本摘要 2025-01-03，000625A股交易日行情记录；开盘价12.69；最高价12.71；最低价12.38；收盘价12.4；成交量946873；按开盘价计算当日下跌2.21%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000625-20250106-0,000625.SZ,2025-01-06,000625 2025-01-06 日行情文本摘要,2025-01-06，000625A股交易日行情记录；开盘价12.4；最高价12.48；最低价12.29；收盘价12.37；成交量649443；按开盘价计算当日下跌0.32%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2025-01-06 日行情文本摘要 2025-01-06，000625A股交易日行情记录；开盘价12.4；最高价12.48；最低价12.29；收盘价12.37；成交量649443；按开盘价计算当日下跌0.32%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000625-20250107-0,000625.SZ,2025-01-07,000625 2025-01-07 日行情文本摘要,2025-01-07，000625A股交易日行情记录；开盘价12.37；最高价12.51；最低价12.29；收盘价12.51；成交量619479；按开盘价计算当日上涨1.13%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2025-01-07 日行情文本摘要 2025-01-07，000625A股交易日行情记录；开盘价12.37；最高价12.51；最低价12.29；收盘价12.51；成交量619479；按开盘价计算当日上涨1.13%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
000625-20250108-0,000625.SZ,2025-01-08,000625 2025-01-08 日行情文本摘要,2025-01-08，000625A股交易日行情记录；开盘价12.48；最高价12.48；最低价12.11；收盘价12.32；成交量914570；按开盘价计算当日下跌1.28%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2025-01-08 日行情文本摘要 2025-01-08，000625A股交易日行情记录；开盘价12.48；最高价12.48；最低价12.11；收盘价12.32；成交量914570；按开盘价计算当日下跌1.28%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000625-20250109-0,000625.SZ,2025-01-09,000625 2025-01-09 日行情文本摘要,2025-01-09，000625A股交易日行情记录；开盘价12.26；最高价12.38；最低价12.22；收盘价12.32；成交量539057；按开盘价计算当日上涨0.57%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2025-01-09 日行情文本摘要 2025-01-09，000625A股交易日行情记录；开盘价12.26；最高价12.38；最低价12.22；收盘价12.32；成交量539057；按开盘价计算当日上涨0.57%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
000625-20250110-0,000625.SZ,2025-01-10,000625 2025-01-10 日行情文本摘要,2025-01-10，000625A股交易日行情记录；开盘价12.3；最高价12.37；最低价12.06；收盘价12.06；成交量689828；按开盘价计算当日下跌1.95%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2025-01-10 日行情文本摘要 2025-01-10，000625A股交易日行情记录；开盘价12.3；最高价12.37；最低价12.06；收盘价12.06；成交量689828；按开盘价计算当日下跌1.95%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000625-20250113-0,000625.SZ,2025-01-13,000625 2025-01-13 日行情文本摘要,2025-01-13，000625A股交易日行情记录；开盘价11.96；最高价12.13；最低价11.9；收盘价12.05；成交量547909；按开盘价计算当日上涨0.84%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,长安汽车,000625 2025-01-13 日行情文本摘要 2025-01-13，000625A股交易日行情记录；开盘价11.96；最高价12.13；最低价11.9；收盘价12.05；成交量547909；按开盘价计算当日上涨0.84%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
